Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
19,1,Positive,Academics/Work/Career Development,Social Situations,,Prepare to Succeed,"In your meeting today, you have an important presentation. In order to follow your boss's instructions, you must present for 15 minutes. When you think about completing this presentation, you feel prepared.",,Are you able to complete the presentation?,Yes,,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,all,3
,2,Positive,Academics/Work/Career Development,,,Certainty of being correct,"You are having an intellectual discussion with your colleague. On one of the questions they ask you, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,all,3
,3,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Coffee shop,"You are working on a project with a coworker at a small table in a coffee shop, and when your coffee arrives, you accidentally spill it all over their papers, which makes them jump in distress.","After you clean up the mess as best as you can, you realize that their response was a normal, knee-jerk reaction. They say that they are not upset with you, and you believe that they are sincere.",Your coworker is probably ...,Not bothered.,Annoyed.,https://drive.google.com/file/d/1g0Aaap92WMbAwnbJvE20t419aXKMEHdi/view?usp=sharing,all,3
,4,Positive,Academics/Work/Career Development,,,Interview anticipation,"You are being interviewed for a leadership position within your department. Before you walk into the room, you notice you feel shaky. You feel incredibly excited.",N/A,Does feeling shaky frighten you?,No,,https://drive.google.com/file/d/1No3R7ItN8sCZWVE76oQA483ECW65wV2l/view?usp=sharing,all,2
,5,Resilience/Negation,Academics/Work/Career Development,Mental Health,,Committing to Activities,"You were very excited to return to in-person instruction and decided to commit to a lot of activities. You've found it challenging to meet all of your responsibilities, and you worry that you are failing at everything. ","You realize that being back in-person is an adjustement, and it will take some time to get used to the busyness of an in-person semester. You think that with everything you have going on, you're doing a great job. ",Can you handle your responsibilities?,Yes ,,https://drive.google.com/file/d/1b4FsJv5cKIMQtEO-gCgq-Ezc9XEaINoP/view?usp=sharing,all,3
,6,Positive,Academics/Work/Career Development,Mental Health,,Falling Behind,"You recently started a new job. As you've been working, it seems like everyone around you knows what they're doing, but you're still confused. You think this is because you're still learning, and you'll catch on soon. ",N/A,Will you get better at your job?,Yes,,https://drive.google.com/file/d/1V3qcOIHvtf7LmQss0ruGtHPfIMlyIauX/view?usp=sharing,all,3
,7,Positive,Academics/Work/Career Development,,,Mistakes while working,"Even though you normally excel at your job, you recently had a rough week at work. Specifically, you made a couple of mistakes on an important project. When you think about the future, you think it is likely that your job is secure.",N/A,"In the upcoming weeks at work, you will probably ...",Learn new skills. ,Lose your job. ,https://drive.google.com/file/d/14pWmSJ9hsPOJZFuIKcrGQjriu93VzLz0/view?usp=sharing,all,2
,8,Positive,Academics/Work/Career Development,Social Situations,,Nerve-wracking presentation,"You have to give a presentation to your boss. As you think about the talk, you feel butterflies in your stomach. On the morning of the talk, you feel nervous, and you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,all,3
,9,Negative,Academics/Work/Career Development,,,Managing Multiple Positions,"You recently decided to join a new neighborhood organization on top of your job. At a meeting for the new group, you brought the wrong notebook and have notes for your job, which aren't useful here. You think managing being in this new group will be difficult.",N/A,Will it be hard to be in this new organization?,Yes,,https://drive.google.com/file/d/1riJmfoH9pMuH_OSdp0f7YQKFJ6FTfNrO/view?usp=sharing,all,2
,10,Positive,Academics/Work/Career Development,Social Situations,,Showcasing your experience,"Your supervisor calls a meeting tied to a new initiative and asks each attendee in turn to present their ideas and prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded capable.",N/A,Your supervisor probably found you to be ...,Effective,Unprepared and lacking. ,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,all,3
20,1,Positive,Academics/Work/Career Development,,,Noisy Neighbors,"Your neighbors were really loud last night so you couldn't sleep. You have a huge presentation to give to your coworkers this morning on a complicated topic. As you think about how you'll do in the presentation, you feel prepared.",,Are you ready for your presentation?,Yes,,https://drive.google.com/file/d/1HsDUCeU29zHEdpx6zFJUNO-bHxtE6WBU/view?usp=sharing,all,3
,2,Positive,Academics/Work/Career Development,,,Making a Choice,"Your partner wants you to take on a specific job. You would rather work in a different place but your partner has made it clear they are not on board with the job choice. When you think about talking with your partner about your choice, you feel prepared.",N/A,Can you handle talking to your partner about your job choice?,Yes,,https://drive.google.com/file/d/1Z0nzrIQHVjl7UmtuA4nngOFyGYVvmBB-/view?usp=sharing,all,3
,3,Resilience/Negation,Academics/Work/Career Development,Mental Health,Physical Health,Out of Your Control,"You are about to do your first online interview for an important promotion. You click the link when it is time to join the meeting,  but your internet cuts out. You think about the interviewers assuming you are late and feel nauseous.","After a minute, your Internet comes back. You log back in and realize you feel more confident.",Do you feel sick throughout the rest of your interview? ,No,,https://drive.google.com/file/d/1XSzs9MSKzUi9VEjvSXdG4wuW6OFlE60F/view?usp=sharing,all,3
,4,Positive,Academics/Work/Career Development,,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that ...,You are ready to take on challenges.,You are a clumsy person.,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,all,3
,5,Negative,Academics/Work/Career Development,Social Situations,,Fundraiser presentation,"You are put in charge of your office's fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers remain quiet. As you sit down after your presentation, you think they seemed bored.",N/A,The coworkers are probably thinking ...,That they don't want to help you with the fundraiser.  ,That they want to help you with the fundraiser.  ,https://drive.google.com/file/d/1r3qtHj-urHxM3pju6-ipIBlJU-tXgwex/view?usp=sharing,all,3
,6,Positive,Academics/Work/Career Development,,,Ready to Work,"You have a lot of tasks to finish tomorrow. You've been procrastinating getting them done because they are going to be hard. When you think about whether you will be able to do the work, you think you can.",,Are you going to complete your work?,Yes,,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,all,3
,7,Positive,Academics/Work/Career Development,,,Future limitations,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably ...",Find a new job that you enjoy. ,Be unable to support yourself. ,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,all,2
,8,Positive,Academics/Work/Career Development,,,Getting an Opportunity,"You have submitted an application for a job that you have been hoping to get. You hope to get an interview for the job after they review your application, but you know it is very competitive. With your qualifications, you expect to get a call.",,Your qualifications...,Put you in a good position to get an interview.,Are probably not strong enough to make you stand out.,https://drive.google.com/file/d/1kw58e9iPvU1vOT2PxZuYepma0F30V2qn/view?usp=sharing,all,3
,9,Positive,Academics/Work/Career Development,Social Situations,,Giving a Presentation,"You have a lot of work to do for your job's evaluation. One of your most important tasks is to make a well-prepared, lengthy presentation to your coworkers. As you imagine yourself giving your presentation, you feel excited.",N/A,Are you looking forward to giving your presentation to your coworkers? ,Yes,,https://drive.google.com/file/d/1_2rE9XRzKQTqhk0TQjBqftLX-RvYtkqL/view?usp=sharing,all,3
,10,Resilience/Negation,Academics/Work/Career Development,,,The Difficult Course,"You have enrolled in a data science program offered by your workplace because you think it will be a useful skill to acquire going forward. You know the demand for people with data science experience is increasing, but the program is very difficult. ","Imagining how you will do in the program, you do not see yourself failing, but instead you believe your efforts to learn some data science skills will be successful.",Do you think you will be effective at picking up some data science skills?,Yes,No,https://drive.google.com/file/d/18HsxK2zdx8J0wLQE1QZITsfajDWRjgaX/view?usp=sharing,all,3
21,1,Positive,Academics/Work/Career Development,Mental Health,,Coming up with Questions,"You are in a talk on a challenging topic you're really excited about. You have a lot of thoughts on the subject but you feel like the questions everyone else are asking are smarter than yours. You think about how all of them probably get nervous about talking too, and know they aren't there to judge.",N/A,Are everyone else's questions better than yours?,No,,https://drive.google.com/file/d/1ZRX4djV0jNJx45cG7BKsaEWYgTgDJGha/view?usp=sharing,all,3
,2,Positive,Academics/Work/Career Development,Mental Health,,Applying to Jobs,"You applied to a job a few weeks ago and just got a response. They tell you they already filled the position, and you feel like you are not smart enough. You think that in the future, you will get a job.",N/A,Will you be offered another job in the future?,Yes,,https://drive.google.com/file/d/12wCJ5Ffbo2FQWJoyCCjGdJUCGOFpqs8y/view?usp=sharing,all,3
,3,Negative,Academics/Work/Career Development,Mental Health,,Balancing Tasks,"You been very busy this semester and haven't had the time to work on your own career development. One of your colleagues is also very busy, and yet they received a promotion. This makes you feel like a failure.  ",N/A,Should you be working harder?,Yes,,https://drive.google.com/file/d/1oLL_xLzI-U5_qMJYXQBLx1YoawU0rB1s/view?usp=sharing,all,3
,4,Positive,Academics/Work/Career Development,,,Strong opinions,The morning of your first evaluation with your new boss has arrived. They tell you that they have strong views about your work. You think that they likely find your work excellent.,N/A,Do you think your new boss has an unfavorable opinion of your work?,No,,https://drive.google.com/file/d/1DDUHB-Z2PNw0gY0ymtiflHQj1EUSuaTn/view?usp=sharing,all,2
,5,Positive,Academics/Work/Career Development,Social Situations,,Stuttering in office ,"You are having a conversation with your supervisor in their office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",N/A,Are you embarrassed due to stuttering over your words?,No,,https://drive.google.com/file/d/1aUoa1C9eagfLdwz6V8WTzXzAjHHYPXaJ/view?usp=sharing,all,3
,6,Resilience/Negation,Academics/Work/Career Development,Family & Home Life,,Expectations,"The year just ended and your boss wants to meet with you about your performance. They have high expectations for you, but you performed worse than previous years. Your boss will be upset.","You think about why they want you to perform well. You know it is because they want you to do well, so that makes you feel better.",Do you stay upset when thinking about talking to your boss about your perfomance this year? ,No,,https://drive.google.com/file/d/1wCwgto6cdEuwAN3zGRHJfTtYQnaB_Rh4/view?usp=sharing,all,2
,7,Resilience/Negation,Academics/Work/Career Development,,,Your Resume,"You are preparing to apply for a new job. You have a meeting with a potential employer tomorrow, and you know that a good resume will be an important factor. ","As you look over your resume, you do not anticipate your potential employer writing you off, and you think that the interviewer will be impressed.",Will your potential employer think you have a strong resume?,Yes,No,https://drive.google.com/file/d/12Cgn_OOe7x5Oai-qSUktQ4QZ57TSL-zp/view?usp=sharing,all,3
,8,Positive,Academics/Work/Career Development,Social Situations,,Participation,"You consider attending a hands-on workshop in which your opinion will be required often, even though you do not like talking in front of others. After attending the workshop, you realize that this decision was great. ",N/A,Are you happy you attended the workshop?,Yes,,https://drive.google.com/file/d/1Dh2em2eifFjm2KkfZDfxM2WuvxRCmMV7/view?usp=sharing,all,3
,9,Positive,Academics/Work/Career Development,Social Situations,,Not Invited to Dinner,"You just started at a new job and you work with lots of new people. You hear a few of them laughing together and talking about going out to dinner and you wait for them to invite you, eager to make friends, but they don't. As you think about your future with this group, you feel okay.",N/A,Is it too late to befriend your new coworkers?,No,,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,all,3
,10,Positive,Academics/Work/Career Development,Social Situations,,Prepare to Succeed,"In your meeting today, you have an important presentation. In order to follow your boss's instructions, you must present for 15 minutes. When you think about completing this presentation, you feel prepared.",,Are you able to complete the presentation?,Yes,,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,all,3
22,1,Write Your Own,Academics/Work/Career Development,,,Write Your Own,,,,,,,write your own,45
23,1,Write Your Own,Academics/Work/Career Development,,,Write Your Own,,,,,,,write your own,45
24,1,Write Your Own,Academics/Work/Career Development,,,Write Your Own,,,,,,,write your own,45
25,1,Resilience/Negation,Academics/Work/Career Development,,,Poor Performance,"Tonight you find out the results of your yearly performance evaluation at work. Your rankings are low in one category, and you know your supervisor will want to meet with you to discuss your performance. When you think about what your supervisor will say to you, you feel ok.",N/A,Can you handle your department head's reaction to your poor evaluation?,Yes,,https://drive.google.com/file/d/1R2qiJM_IDzSxINZRkJ1oU9N7X9ZhWZBn/view?usp=sharing,1,3
,2,Positive,Academics/Work/Career Development,,,Bad rumor,"You heard a rumor your supervisor is planning on firing someone in your position. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability of you getting demoted is minimal.",N/A,You think that your supervisor could be ...,Planning to fire someone else.,Planning to fire you.,https://drive.google.com/file/d/1Ufz-pbEsTswKD1WwWeGUqfBKkpWje2t7/view?usp=sharing,1,2
,3,Positive,Academics/Work/Career Development,,,Finishing Work,"You have a project due at work next week. You haven't started it yet because you're unsure how to best complete it. When you think about completing the project on time, you feel confident.",N/A,Are you worried about completing your project on time?,No,,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,1,2
,4,Negative,Academics/Work/Career Development,Mental Health,,Not Feeling Prepared,"In one of your meetings recently, your boss asks everyone to raise their hands if they've heard of a work technique before. When you look around, you notice the majority of your coworkers have their hands raised, but you don't. This makes you feel like you're not prepared to do the job.",N/A,Are your coworkers more prepared than you?,Yes,,https://drive.google.com/file/d/143F_jObaBvG1l77hgZir8HruiOBT9qcV/view?usp=sharing,1,3
,5,Positive,Academics/Work/Career Development,Social Situations,,Feeling Different,"You're participating in an online conference and look at everyone's video. You notice that among the group of people, you look different from everyone else. You think about this and realize it is okay.",N/A,Is it bad that you feel different from others in your field?,No,,https://drive.google.com/file/d/1FYlM1a2tGzuMSOP9mBCzc1EGii_cJCXM/view?usp=sharing,1,3
,6,Positive,Academics/Work/Career Development,Social Situations,,Important Presentation ,"You have been asked to give a presentation about some of your latest projects at a major conference. This is a great opportunity to highlight the good work you have been doing, but you feel nervous talking in front of such a big group of your peers. As you think about how the people at the conference will react to your presentation, you believe they will think you looked confident. ",,"At the conference, people will probably think",You do a good job explaining your recent work.,You look uncomfortable giving your presentation.,https://drive.google.com/file/d/1mDkkEgN6DM4uUXlBqKzoV3AT0Fc6OUwv/view?usp=sharing,1,3
,7,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Quick correction,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your boss incorrectly?,Yes,,https://drive.google.com/file/d/1LkIEzSKHGt3ThPYYrQWPZjfUroEcuFve/view?usp=sharing,1,3
,8,Positive,Academics/Work/Career Development,Social Situations,,Train of thought,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",N/A,Is it normal to lose your train of thought while presenting?,Yes,,https://drive.google.com/file/d/1PHmQe4AQ2pdApKjmB9uPD73GJXIyik1b/view?usp=sharing,1,3
,9,Positive,Academics/Work/Career Development,Mental Health,,Unfinished Work,"You had a very busy day, and were not able to get all of your tasks done. At dinner, your partner brags about how they finished everything on their to-do list. Thinking about whether you can complete your work tomorrow, you feel confident.",N/A,Will you get everything done?,Yes ,,https://drive.google.com/file/d/1b4FsJv5cKIMQtEO-gCgq-Ezc9XEaINoP/view?usp=sharing,1,2
,10,Positive,Academics/Work/Career Development,Mental Health,,Using Different Technology,"You recently replaced your laptop and had to go with a cheaper option. Your boss asks you to complete a project that will require an application that your new computer doesn’t have. When you think about completing your work for this project, you feel capable.",N/A,Do you feel capable of completing the work for this project?,Yes,,https://drive.google.com/file/d/1GCrKOzwl1UC_Ekj6ZbzSSgZLWAASM60G/view?usp=sharing,1,3
26,1,Positive,Academics/Work/Career Development,,,Waiting for Big News,"Today, you will receive an important email. It will tell you whether you received or didn't get a promotion that would really advance your career.  As you think about waiting for the email, you feel excited.",N/A,Are you miserable waiting for the important email?,No,,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,1,3
,2,Resilience/Negation,Academics/Work/Career Development,,,Crowd of speech,"You are giving a speech at a convention for work. As you speak, you look into the crowd and notice that your boss’s expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your boss was most likely feeling impressed.",Does your boss’s neutral expression mean that they are disappointed with your speech?,No,,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,1,3
,3,Positive,Academics/Work/Career Development,Social Situations,,Contributing to a discussion,Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.,N/A,The people in your office will probably ...,Support your ideas.,Dislike your ideas. ,https://drive.google.com/file/d/1JLyALw0FAi4CqbIXE3sRzXwYRToDyEgw/view?usp=sharing,1,3
,4,Positive,Academics/Work/Career Development,,,Deleted section,"You recently turned in a manuscript to a research journal. You decide to re-read your submitted manuscript, and realize that you accidentally deleted a section you meant to include in the paper. Given that you accidentally made this deletion, you think that you are likely to recieve positive feedback.",N/A,Are you going to get positive feedback on your manuscript?,Yes,,https://drive.google.com/file/d/1Yt4G6HZMK_t-ihnEQ6iXy7znjFBPDG8C/view?usp=sharing,1,2
,5,Positive,Academics/Work/Career Development,Mental Health,,Evaluation results,"The window for staff evaluations just closed, and you are not sure whether you did well or not. You feel nervous as you think about how other people graded you. You think being nervous is manageable.",N/A,Can you tolerate your nervousness as you wait to find out your evaluation?,Yes,,https://drive.google.com/file/d/1wsTsWXkjfok0Sn3yNthn2D51nUUgPfAo/view?usp=sharing,1,3
,6,Resilience/Negation,Academics/Work/Career Development,Mental Health,,An Important Presentation,"Your boss is watching your presentation in your meeting today. During the presentation, you stumble over your words a lot. You feel defeated.","While you feel upset, you realize that it's natural to make mistakes. You think that your boss won't remember.",Is it okay that you made a mistake in front of your boss?,Yes ,,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,1,3
,7,Negative,Academics/Work/Career Development,,,A Crucial Call,"Today, you will receive an important call. You'll find out if you got the job you interviewed for. As you think about waiting for the call, your anxiety is tolerable.",N/A,Are you able to tolerate feeling anxious while waiting for the call?,Yes,,https://drive.google.com/file/d/1fZ5gwS6hpP38y6RtFHzIC7gnpeeFtrLF/view?usp=sharing,1,3
,8,Positive,Academics/Work/Career Development,Finances,,Job Market,"You recently saw on the news that the economy has been particularly bad. Even though your boss typically gives you good reviews, you wonder whether your job is safe. You think you will likely be fine.",N/A,Is it likely that you will be fired?,No,,https://drive.google.com/file/d/1_T7rY6ZMUGkrrUUDGpQvHEG53QIE1J_h/view?usp=sharing,1,3
,9,Positive,Academics/Work/Career Development,Social Situations,,Letting Others See Your Work,"A friend suggests that you join a creative writing organization. He tells you that members of the organization will read and critique your writing. As you listen to your friend, the thought of other people looking at your writing makes you feel enthusiastic.",,Do you expect to feel uncomfortable if others look at your work?,No,,https://drive.google.com/file/d/1_v0XVyjgJOJpCTokQcFjgQ8I8d4-jNxu/view?usp=sharing,1,2
,10,Positive,Family & Home Life,,,Divorced Parents,"You're hosting a party and both your parents are attending. They're divorced and they sometimes have trouble getting along. During the event, they bicker but you are able to concentrate on your duties.",N/A,Are you able to handle your parents fighting? ,Yes,,https://drive.google.com/file/d/17W0dNbQ648WWbCLDQ3kAkeR0bT1bWMyW/view?usp=sharing,1,3
27,1,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Mind Going Blank,Your boss calls on you to answer a question about the plans you just discussed. You don't know what to say. Your mind goes blank.,"You give yourself a moment to collect your thoughts and then answer the question. When you think about the answer you gave, you feel good.",Are you able to answer the question?,Yes,,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,1,3
,2,Positive,Academics/Work/Career Development,,,Changing Your Trajectory,"You have been in the same post for five years, and you are beginning to feel bored and unchallenged in your job. You would like to try for a new position, but you worry if you will be competitive on the job market. Thinking about your career trajectory, you believe your chances of finding a new job that you find fulfilling are good.",,Given you experience and skills,You stand a good chance of landing a rewarding position.,You will probably be stuck in a job you don't enjoy.,https://drive.google.com/file/d/1ukTeswERZcv2VvawZpW961W0jlu_DqhX/view?usp=sharing,1,3
,3,Positive,Academics/Work/Career Development,,,Quick task completion,"You have started working on a new committee with other staff, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to the rest of the committee, who find only one mistake in your work. As the meeting ends, you expect they think your work is commendable.",N/A,Was the committee pleased with your work?,Yes,,https://drive.google.com/file/d/1L13QcCiq5pWIaUjHGkFhwwQeosh7S9tG/view?usp=sharing,1,2
,4,Negative,Academics/Work/Career Development,Social Situations,,Unstable WiFi,"You don't have stable internet access at home and you found out UVA has converted to online operations. You wonder how you'll be able to keep up with your work. As you think about the situation, you feel stressed.",N/A,Are you worried about keeping up with your work? ,Yes,,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,1,3
,5,Positive,Academics/Work/Career Development,Social Situations,,Writing Notes,"During a meeting your boss calls on you to write a few notes on the board. As you write down what they say, you hope you are not mispelling any words. Everyone watching you probably thinks you are doing great. ",N/A,Do your coworkers judge you negatively while you write on the board?,No,,https://drive.google.com/file/d/1ZGds5rpjl0oMQ7bK9zYR2oVUgY4X4Lql/view?usp=sharing,1,3
,6,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Coffee shop,"You are working on a project with a coworker at a small table in a coffee shop, and when your coffee arrives, you accidentally spill it all over their papers, which makes them jump in distress.","After you clean up the mess as best as you can, you realize that their response was a normal, knee-jerk reaction. They say that they are not upset with you, and you believe that they are sincere.",Your coworker is probably ...,Not bothered.,Annoyed.,https://drive.google.com/file/d/1g0Aaap92WMbAwnbJvE20t419aXKMEHdi/view?usp=sharing,1,3
,7,Positive,Academics/Work/Career Development,,,A Crucial Call,"Today, you will receive an important call. You'll find out if you got the job you interviewed for. As you think about waiting for the call, your anxiety is tolerable.",N/A,Are you able to tolerate feeling anxious while waiting for the call?,Yes,,https://drive.google.com/file/d/1fZ5gwS6hpP38y6RtFHzIC7gnpeeFtrLF/view?usp=sharing,1,3
,8,Positive,Academics/Work/Career Development,,,A night off,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,1,3
,9,Positive,Academics/Work/Career Development,Mental Health,,A big presentation,You are about to give an important presentation. You are anxious about it. This feeling makes you exhilarated.,N/A,Are you excited about the presentation?,Yes,,https://drive.google.com/file/d/1Isymza3G0kL57wzhqwxZgxIn5utKL9wO/view?usp=sharing,1,3
,10,Positive,Academics/Work/Career Development,,,Public speaking,"You are about to give a presentation to your supervisor and coworkers. The material in the presentation has come from the research you have done in your job. During the presentation, you feel that your supervisor and coworkers will think you seem smart.",N/A,Will others think you seem intelligent when presenting?,Yes,,https://drive.google.com/file/d/1un3NKc9Sb0zVmL2t-X9oQ68FQeyI49D6/view?usp=sharing,1,3
1,1,Positive,Family & Home Life,Social Situations,,Reconciling with your sibling,"A few days after an argument with your sibling, you decide to break the ice by asking them out for a drink. You get ready, and as you are about to leave, they call to say they can't make it after all. As you hang up, you think that this is because they are feeling exhausted.",N/A,Your sibling cancelled the meeting because they are...,Exhausted from a busy week,Mad at you.,https://drive.google.com/file/d/1LZnhgjX_Ooy4zJ7r99Iydqi6bvIOcszd/view?usp=sharing,1,3
,2,Positive,Family & Home Life,,,A loud sound,"You are at home alone watching TV at night. You must have been dozing, because you suddenly wake up after hearing a loud noise. You look outside and see a squirrel.",N/A,Should you be frightened when you hear a noise at night?,No,,https://drive.google.com/file/d/112L-8dcWTlW0PBIwlzQ1tji-mxaOJI19/view?usp=sharing,1,3
,3,Negative,Family & Home Life,Physical Health,,Health and aging,You visit a childhood friend for the holidays and notice that they are getting older. You find yourself wondering what their health will be like in the future. You think their health will likely be declining.,N/A,Your friend will probably ...,Get sicker in the future.,Remain healthy in the future.,https://drive.google.com/file/d/1WQ98TKdbZ08AjbW2rG-0WPXkWDfK2eYl/view?usp=sharing,1,3
,4,Positive,Family & Home Life,,,Travel decisions,"You are considering multiple options for where to go for vacation. You have only a little bit of information about each potential destination before you make your choice. When you decide, you feel satisfied.",N/A,Are you content with your decision for where to go on vacation?,Yes,,https://drive.google.com/file/d/1m7hh0KAbEypRGlvsWor7NXW3kZ2Bmlem/view?usp=sharing,1,3
,5,Positive,Family & Home Life,,,Space heater,"You rushed out of your house this morning. Once at work, you wonder whether you forgot to turn off your space heater. The likelihood that the space heater will cause a fire is minimal.",N/A,Will your space heater cause a fire? ,No,,https://drive.google.com/file/d/12yVqiIYwySGiWCN59JefWnXYMM955wDC/view?usp=sharing,1,3
,6,Resilience/Negation,Family & Home Life,,,Finding Balance,At home there are a lot of chores on the schedule for you to accomplish. You have a big project to work on that will take a lot of time. Balancing your home life and work life is stressful.,"You look for calming music to listen to while you do your chores. As you start to tackle your to-do list, you feel confident.",Are you overwhelmed by what you need to accomplish? ,No,,https://drive.google.com/file/d/1cQbfhuu2-vL7J0Igqz9iQOuZsJQ0wTlZ/view?usp=sharing,1,2
,7,Positive,Family & Home Life,,,Visiting Family,"A long weekend is coming up and you planned to travel home to visit family. However, this morning you found out that you were exposed to someone who tested positive for COVID. You are vaccinated, but unsure of your risk for contracting COVID and possibly passing it onto your family. You think your family will understand if you decide not to come home in order to keep them safe. ",N/A,Will your family be upset if you decide not to come home for the weekend?,No,,https://drive.google.com/file/d/1A7X0GdwzsS1kR5c8LnKnC_pPsv8PQAhe/view?usp=sharing,1,2
,8,Resilience/Negation,Family & Home Life,,,Running Low on Battery,"You're going on a long car ride with your family to visit family in another part of the state. After an hour, you notice your phone battery is almost dead and you don't have a charger. You think about the rest of the car ride and feel like you will be miserable.","After worrying about it for a few minutes, you realize that you can use this time to talk to your family. You feel  better.",Will the car ride be ok without your phone?,Yes,,https://drive.google.com/file/d/1hVhpy_8MrHNJ7D6TGUs42mXmkuk4t4W8/view?usp=sharing,1,3
,9,Positive,Family & Home Life,Romantic Relationship,,Big Families ,"Your fiance has children, while you do not. You are trying to adapt to living with younger children and how to bond with them. You think you will be able to work out a routine and adapt to this new family dynamic. ",N/A,Will you be able to adapt to having a large family?,Yes,No,https://drive.google.com/file/d/1a_dFMhpbbpL2sucL2bxvmYYpEHxomTlq/view?usp=sharing,1,3
,10,Positive,Family & Home Life,,,Dealing with Embarrassment,"Your partner is dropping you off at a conference event.  As they drop you off, they are really loud and make you feel embarrassed. As you get out of the car, you feel fine.",N/A,Are you able to tolerate your partner dropping you off? ,Yes,,https://drive.google.com/file/d/1_yNUHw34Vp2RxqAunp0iGwPNqOzTzKbc/view?usp=sharing,1,2
2,1,Positive,Family & Home Life,Finances,,Career Pressures,"You are in the middle of a big decision about your next step career-wise. You have the choice between staying in a familiar but lower-paying job or moving to a different industry with the potential for higher pay. When you think about making this decision, you feel confident.",,Will you make the right career decision for you? ,Yes,No,https://drive.google.com/file/d/1aqgYAVCSNClDaQQ-yYZHYGFaFyjOuRZu/view?usp=sharing,1,2
